IP 地址,平均延迟,下载速度(MB/s),地区码
3.0.50.69,210.86,0.00,SIN
3.112.3.59,131.36,4.99,NRT
3.112.21.143,129.91,2.52,NRT
3.112.41.210,126.76,0.00,NRT
3.112.62.218,172.95,2.62,NRT
3.112.67.101,127.90,0.00,NRT
3.112.69.236,147.98,5.14,NRT
3.112.70.249,130.51,2.61,NRT
3.112.90.2,171.02,2.61,NRT
3.112.177.2,173.72,10.06,NRT
3.112.188.74,144.19,5.12,NRT
3.112.195.202,143.71,0.00,NRT
3.112.198.83,91.14,18.14,NRT
3.112.205.83,151.91,2.62,NRT
3.112.206.23,125.95,0.00,NRT
3.112.219.69,124.80,18.95,NRT
3.115.1.174,137.32,18.88,NRT
3.115.8.62,133.25,18.89,NRT
3.115.19.132,107.60,0.00,NRT
3.115.78.140,139.58,18.88,NRT
3.115.86.142,108.15,0.00,NRT
3.115.88.216,130.35,18.88,NRT
3.115.119.83,110.85,0.00,NRT
3.115.198.26,107.28,0.00,NRT
3.115.214.51,126.55,2.62,NRT
3.115.234.180,110.39,0.00,NRT
3.115.245.6,108.87,0.00,NRT
4.194.113.191,254.15,0.00,SIN
8.210.250.14,62.44,29.43,HKG
8.218.22.14,205.83,0.00,HKG
8.218.66.4,178.49,16.25,HKG
8.218.100.2,305.68,0.13,HKG
8.218.102.168,57.18,41.92,HKG
8.218.116.46,203.44,7.38,TPE
8.219.155.125,311.42,0.00,NRT
8.219.195.31,343.33,0.00,NRT
8.221.126.227,141.83,0.00,IAD
8.222.185.236,358.22,0.00,NRT
8.222.193.153,351.20,0.00,NRT
13.113.3.66,108.20,0.00,NRT
13.113.44.10,110.36,0.00,NRT
13.113.187.222,109.24,0.00,NRT
13.113.217.178,110.88,0.00,NRT
13.114.30.50,182.64,5.14,NRT
13.114.31.181,129.97,0.00,NRT
13.114.54.191,129.14,18.92,NRT
13.114.76.102,131.79,5.14,NRT
13.114.86.140,181.08,5.14,NRT
13.114.101.22,121.39,0.00,NRT
13.114.102.192,144.16,18.49,NRT
13.114.147.6,128.10,0.00,NRT
13.114.217.234,498.80,18.88,NRT
13.114.227.104,162.48,18.88,NRT
13.114.231.32,187.16,2.56,NRT
13.193.0.195,123.79,18.81,NRT
13.193.29.106,129.03,0.00,NRT
13.193.41.3,108.32,0.00,NRT
13.193.73.233,108.67,0.00,NRT
13.193.78.117,122.25,9.96,NRT
13.193.101.130,109.80,0.00,NRT
13.193.125.219,129.40,18.89,NRT
13.193.145.251,107.70,0.00,NRT
13.193.150.127,122.54,14.50,NRT
13.193.172.113,131.14,0.00,NRT
13.193.179.209,109.34,0.00,NRT
13.193.183.187,143.21,0.00,NRT
13.193.212.73,109.60,0.00,NRT
13.193.213.128,108.26,0.00,NRT
13.193.213.165,134.33,0.00,NRT
13.193.214.39,134.16,18.89,NRT
13.193.215.10,125.33,14.38,NRT
13.193.216.144,128.32,18.88,NRT
13.193.216.180,141.03,0.00,NRT
13.193.221.75,124.94,18.88,NRT
13.193.224.190,127.73,18.88,NRT
13.193.235.55,130.19,0.00,NRT
13.193.235.119,132.38,0.00,NRT
13.193.244.81,128.57,0.00,NRT
13.193.255.97,129.66,22.41,NRT
13.231.38.1,122.64,17.61,NRT
13.231.46.139,108.12,0.00,NRT
13.231.49.56,162.63,2.61,NRT
13.231.78.182,108.64,0.00,NRT
13.231.117.189,109.38,0.00,NRT
13.231.128.12,177.56,18.78,NRT
13.231.130.188,108.33,0.00,NRT
13.231.135.28,109.41,0.00,NRT
13.231.138.175,109.25,0.00,NRT
13.231.142.11,134.88,18.88,NRT
13.231.142.17,107.48,0.00,NRT
13.231.144.71,108.84,0.00,NRT
13.231.153.7,147.88,18.88,NRT
13.231.172.130,122.66,5.13,NRT
13.231.174.16,167.17,18.89,NRT
13.231.183.9,130.10,2.62,NRT
13.231.190.183,147.68,18.88,NRT
13.231.191.46,222.71,18.88,NRT
13.231.193.244,169.12,18.89,NRT
13.231.196.209,184.04,5.14,NRT
13.231.213.170,109.48,0.00,NRT
13.231.221.179,120.22,5.14,NRT
13.231.229.159,127.22,0.00,NRT
13.231.242.223,151.92,15.47,NRT
13.231.244.80,109.12,0.00,NRT
13.231.255.196,170.91,2.54,NRT
13.250.2.248,205.68,9.49,SIN
13.250.9.246,288.74,10.56,SIN
13.250.14.129,280.54,11.10,SIN
13.250.15.63,254.10,9.45,HKG
13.250.17.35,199.86,9.47,SIN
