IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
157.230.243.63,4,4,0.00,107.12,0.00,SIN,443
157.230.44.100,4,4,0.00,139.31,0.00,SIN,443
157.230.255.59,4,4,0.00,150.18,0.00,SIN,443
157.230.109.108,4,4,0.00,243.14,0.00,FRA,443
157.230.22.243,4,4,0.00,246.81,0.00,FRA,443
157.230.110.242,4,4,0.00,258.04,0.00,FRA,443
157.230.127.28,4,4,0.00,259.78,0.00,FRA,443
157.230.97.112,4,4,0.00,261.75,0.00,FRA,443
157.230.107.203,4,4,0.00,267.28,0.00,FRA,443
157.230.23.239,4,4,0.00,290.71,0.00,FRA,443
157.230.29.88,4,4,0.00,301.59,0.00,FRA,443
157.230.186.51,4,4,0.00,310.85,0.00,EWR,443
157.230.100.126,4,4,0.00,313.04,0.00,FRA,443
157.230.74.71,4,4,0.00,328.51,0.00,SJC,443
157.230.107.183,4,4,0.00,334.21,0.00,FRA,443
