IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
34.150.12.1,4,4,0.00,76.30,0.00,HKG,443
165.154.24.233,4,4,0.00,92.18,0.00,HKG,443
165.154.20.213,4,4,0.00,102.25,0.00,HKG,443
38.55.96.181,4,4,0.00,106.06,0.00,HKG,443
138.2.122.191,4,4,0.00,109.29,0.00,ICN,443
38.55.198.210,4,4,0.00,110.85,0.00,HKG,443
140.245.71.104,4,4,0.00,114.27,0.00,ICN,443
38.55.199.29,4,4,0.00,115.77,0.00,HKG,443
165.154.21.142,4,4,0.00,116.13,0.00,HKG,443
107.148.118.151,4,4,0.00,123.79,0.00,NRT,443
38.55.199.128,4,4,0.00,126.10,0.00,HKG,443
38.55.122.83,4,4,0.00,128.23,0.00,HKG,443
38.55.199.86,4,4,0.00,130.17,0.00,HKG,443
152.67.210.234,4,4,0.00,138.03,0.00,ICN,443
38.55.192.142,4,4,0.00,140.67,0.00,HKG,443
38.55.195.75,4,4,0.00,143.71,0.00,HKG,443
38.55.106.154,4,4,0.00,149.43,0.00,HKG,443
38.55.104.109,4,4,0.00,153.48,0.00,HKG,443
38.55.195.81,4,4,0.00,164.00,0.00,HKG,443
38.55.192.169,4,4,0.00,169.99,0.00,HKG,443
140.245.65.122,4,4,0.00,190.17,0.00,ICN,443
38.55.96.16,4,4,0.00,196.06,0.00,ICN,443
52.195.228.243,4,4,0.00,206.27,0.00,NRT,443
165.154.41.113,4,4,0.00,208.39,0.00,HKG,443
38.55.108.22,4,4,0.00,218.98,0.00,LAX,443
167.179.115.135,4,4,0.00,225.99,0.00,NRT,443
117.55.239.57,4,4,0.00,231.30,0.00,LAX,443
165.154.202.213,4,4,0.00,233.88,0.00,LAX,443
138.2.43.153,4,4,0.00,235.81,0.00,KIX,443
38.55.106.240,4,4,0.00,235.93,0.00,HKG,443
165.154.255.209,4,4,0.00,239.60,0.00,LAX,443
168.138.46.67,4,4,0.00,242.94,0.00,KIX,443
38.55.192.225,4,4,0.00,247.39,0.00,HKG,443
138.2.59.112,4,4,0.00,250.78,0.00,KIX,443
38.55.133.241,4,4,0.00,253.19,0.00,SJC,443
38.55.194.187,4,4,0.00,254.65,0.00,HKG,443
