IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
52.194.151.107,4,4,0.00,91.53,0.00,NRT,443
35.78.169.69,4,4,0.00,91.81,0.00,NRT,443
13.193.235.119,4,4,0.00,93.78,0.00,NRT,443
35.75.235.11,4,4,0.00,94.77,0.00,NRT,443
54.95.21.10,4,4,0.00,94.95,0.00,NRT,443
57.182.89.177,4,4,0.00,95.03,0.00,NRT,443
3.112.219.69,4,4,0.00,95.17,0.00,NRT,443
18.181.170.52,4,4,0.00,95.67,0.00,NRT,443
13.158.71.221,4,4,0.00,96.10,0.00,NRT,443
3.112.67.101,4,4,0.00,96.30,0.00,NRT,443
3.112.206.23,4,4,0.00,99.08,0.00,NRT,443
52.195.18.120,4,4,0.00,110.19,0.00,NRT,443
13.158.86.30,4,4,0.00,117.94,0.00,NRT,443
52.195.222.35,4,4,0.00,124.21,0.00,NRT,443
54.238.196.51,4,4,0.00,125.63,0.00,NRT,443
43.198.210.249,4,4,0.00,125.80,0.00,HKG,443
18.180.86.39,4,4,0.00,126.15,0.00,NRT,443
18.141.208.166,4,4,0.00,143.00,0.00,SIN,443
52.77.54.144,4,4,0.00,146.67,0.00,SIN,443
54.169.146.255,4,4,0.00,148.01,0.00,SIN,443
13.250.78.140,4,4,0.00,153.80,0.00,SIN,443
54.238.199.145,4,3,0.25,164.23,0.00,NRT,443
18.183.141.249,4,4,0.00,166.07,0.00,NRT,443
13.193.244.81,4,4,0.00,167.09,0.00,NRT,443
3.112.41.210,4,4,0.00,168.57,0.00,NRT,443
13.113.187.222,4,4,0.00,169.21,0.00,NRT,443
54.168.245.61,4,4,0.00,169.81,0.00,NRT,443
13.193.150.127,4,4,0.00,171.14,0.00,NRT,443
13.193.212.73,4,4,0.00,172.43,0.00,NRT,443
57.180.168.118,4,4,0.00,173.71,0.00,NRT,443
43.198.95.79,4,4,0.00,185.72,0.00,HKG,443
52.196.63.84,4,4,0.00,201.08,0.00,NRT,443
35.89.243.2,4,4,0.00,202.27,0.00,PDX,443
44.236.119.165,4,4,0.00,217.73,0.00,PDX,443
13.212.102.10,4,4,0.00,222.38,0.00,SIN,443
3.67.69.77,4,4,0.00,231.65,0.00,FRA,443
13.250.129.244,4,4,0.00,231.78,0.00,SIN,443
3.68.62.122,4,4,0.00,235.34,0.00,FRA,443
95.40.227.67,4,4,0.00,246.04,0.00,PDX,443
52.194.215.93,4,4,0.00,246.13,0.00,NRT,443
51.20.202.203,4,4,0.00,249.19,0.00,ARN,443
35.156.136.70,4,4,0.00,251.56,0.00,FRA,443
52.57.201.75,4,4,0.00,257.30,0.00,FRA,443
13.50.199.225,4,4,0.00,270.60,0.00,ARN,443
44.238.14.38,4,4,0.00,274.23,0.00,PDX,443
3.75.138.7,4,4,0.00,277.26,0.00,FRA,443
16.171.218.156,4,4,0.00,280.09,0.00,ARN,443
51.20.201.220,4,4,0.00,287.36,0.00,ARN,443
52.26.119.209,4,4,0.00,318.86,0.00,PDX,443
35.42.169.95,4,4,0.00,319.85,0.00,MAD,443
3.112.198.83,4,4,0.00,334.95,0.00,NRT,443
63.186.127.80,4,4,0.00,353.61,0.00,FRA,443
3.121.85.142,4,4,0.00,361.49,0.00,FRA,443
18.153.112.55,4,4,0.00,376.22,0.00,FRA,443
13.37.29.92,4,4,0.00,403.98,0.00,CDG,443
54.180.141.246,4,4,0.00,409.94,0.00,ICN,443
3.71.107.25,4,4,0.00,418.63,0.00,FRA,443
35.74.219.99,4,4,0.00,466.55,0.00,NRT,443
54.150.43.75,4,4,0.00,482.37,0.00,NRT,443
3.76.138.151,4,4,0.00,499.25,0.00,CDG,443
3.66.169.92,4,4,0.00,499.81,0.00,FRA,443
3.126.76.108,4,4,0.00,595.93,0.00,CDG,443
52.195.211.96,4,4,0.00,632.38,0.00,NRT,443
51.21.18.89,4,4,0.00,656.95,0.00,ARN,443
