IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
20.120.129.200,4,4,0.00,75.87,0.00,SEA,443
40.116.88.35,4,4,0.00,96.93,0.00,ORD,443
52.230.146.177,4,4,0.00,118.34,0.00,MSP,443
23.100.101.150,4,4,0.00,123.37,0.00,NRT,443
4.236.130.132,4,4,0.00,124.71,0.00,IAD,443
20.39.37.65,4,4,0.00,175.36,0.00,IAD,443
20.106.211.232,4,4,0.00,177.88,0.00,IAD,443
172.212.108.47,4,4,0.00,191.73,0.00,IAD,443
20.33.23.66,4,4,0.00,196.79,0.00,CDG,443
9.163.235.73,4,4,0.00,201.22,0.00,AMS,443
72.146.234.10,4,4,0.00,204.28,0.00,MXP,443
4.232.64.201,4,4,0.00,207.59,0.00,MXP,443
4.194.113.191,4,4,0.00,212.00,0.00,SIN,443
172.187.200.28,4,4,0.00,225.37,0.00,LHR,443
20.235.220.189,4,4,0.00,256.26,0.00,BOM,443
20.235.105.146,4,4,0.00,262.26,0.00,BOM,443
4.240.110.47,4,4,0.00,272.90,0.00,BOM,443
98.70.26.236,4,4,0.00,276.41,0.00,BOM,443
20.174.15.226,4,4,0.00,319.11,0.00,BOM,443
72.144.41.99,4,4,0.00,485.08,0.00,FRA,443
