IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
35.212.254.174,4,4,0.00,52.95,0.00,SEA,443
35.212.160.26,4,4,0.00,61.93,0.00,SEA,443
35.230.125.197,4,4,0.00,66.83,0.00,SEA,443
35.212.239.108,4,4,0.00,74.27,0.00,SEA,443
35.212.214.143,4,4,0.00,86.53,0.00,SEA,443
35.239.174.101,4,4,0.00,102.66,0.00,ORD,443
34.132.50.119,4,4,0.00,180.99,0.00,ORD,443
34.175.202.195,4,4,0.00,183.10,0.00,MAD,443
34.136.112.104,4,4,0.00,187.21,0.00,ORD,443
34.39.62.53,4,4,0.00,192.00,0.00,LHR,443
34.116.216.59,4,4,0.00,200.41,0.00,WAW,443
35.241.172.224,4,4,0.00,214.84,0.00,CDG,443
35.220.244.20,4,4,0.00,243.34,0.00,HKG,443
34.150.12.1,4,4,0.00,244.39,0.00,HKG,443
35.228.203.71,4,4,0.00,246.12,0.00,ARN,443
35.212.217.219,4,4,0.00,251.22,0.00,SEA,443
35.210.99.51,4,4,0.00,576.39,0.00,MXP,443
35.212.217.90,4,4,0.00,749.75,0.00,SEA,443
