IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
161.118.196.58,4,4,0.00,89.07,0.00,SIN,443
140.245.45.233,4,4,0.00,92.08,0.00,SIN,443
161.118.200.170,4,4,0.00,93.60,0.00,SIN,443
140.245.103.72,4,4,0.00,94.28,0.00,SIN,443
140.245.104.189,4,4,0.00,96.38,0.00,SIN,443
168.138.176.180,4,4,0.00,98.46,0.00,SIN,443
140.245.44.94,4,4,0.00,98.92,0.00,SIN,443
140.245.97.215,4,4,0.00,100.03,0.00,SIN,443
134.185.91.72,4,4,0.00,118.48,0.00,SIN,443
158.178.224.249,4,4,0.00,118.95,0.00,SIN,443
140.245.58.23,4,4,0.00,127.02,0.00,SIN,443
149.118.48.187,4,4,0.00,227.28,0.00,SIN,443
168.138.165.174,4,4,0.00,232.12,0.00,SIN,443
