IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
52.197.221.186,4,4,0.00,116.03,0.00,NRT,443
54.65.218.189,4,4,0.00,142.68,0.00,NRT,443
52.195.228.243,4,4,0.00,144.73,0.00,NRT,443
13.231.142.11,4,4,0.00,145.91,0.00,NRT,443
52.195.163.105,4,4,0.00,150.24,0.00,NRT,443
54.65.20.242,4,4,0.00,152.10,0.00,NRT,443
54.65.230.253,4,4,0.00,152.98,0.00,NRT,443
35.75.82.176,4,4,0.00,154.11,0.00,NRT,443
18.183.49.46,4,4,0.00,154.49,0.00,NRT,443
54.248.41.45,4,4,0.00,162.80,0.00,NRT,443
52.196.161.169,4,4,0.00,165.98,0.00,NRT,443
54.248.147.134,4,4,0.00,181.80,0.00,NRT,443
52.196.184.224,4,4,0.00,182.24,0.00,NRT,443
18.183.109.205,4,4,0.00,189.56,0.00,NRT,443
54.238.178.84,4,4,0.00,199.36,0.00,NRT,443
13.114.31.181,4,4,0.00,201.25,0.00,NRT,443
57.180.23.249,4,4,0.00,203.64,0.00,NRT,443
43.207.130.241,4,4,0.00,206.61,0.00,NRT,443
52.196.199.221,4,4,0.00,209.69,0.00,NRT,443
35.79.21.45,4,4,0.00,224.71,0.00,NRT,443
54.95.214.241,4,4,0.00,249.46,0.00,NRT,443
54.238.237.167,4,4,0.00,254.94,0.00,NRT,443
