IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
64.181.247.243,4,4,0.00,74.16,0.00,SJC,443
138.2.31.37,4,4,0.00,128.19,0.00,NRT,443
168.138.193.193,4,4,0.00,129.20,0.00,NRT,443
141.147.185.63,4,4,0.00,133.97,0.00,NRT,443
64.110.104.119,4,4,0.00,134.27,0.00,KIX,443
141.147.168.3,4,4,0.00,134.80,0.00,NRT,443
140.83.50.165,4,4,0.00,137.16,0.00,KIX,443
168.138.46.67,4,4,0.00,141.92,0.00,KIX,443
155.248.181.189,4,4,0.00,144.97,0.00,NRT,443
138.2.10.165,4,4,0.00,147.93,0.00,NRT,443
150.230.212.247,4,4,0.00,148.32,0.00,NRT,443
141.147.185.181,4,4,0.00,151.27,0.00,NRT,443
138.2.59.112,4,4,0.00,163.38,0.00,NRT,443
152.67.210.234,4,4,0.00,165.81,0.00,ICN,443
138.2.43.153,4,4,0.00,166.51,0.00,KIX,443
140.245.70.145,4,4,0.00,167.91,0.00,ICN,443
138.2.87.237,4,4,0.00,207.17,0.00,SIN,443
138.2.66.236,4,4,0.00,221.19,0.00,SIN,443
138.2.110.111,4,4,0.00,226.12,0.00,SIN,443
89.168.110.240,4,4,0.00,228.25,0.00,FRA,443
168.138.189.82,4,4,0.00,232.95,0.00,SIN,443
140.245.127.48,4,4,0.00,236.68,0.00,SIN,443
168.138.189.91,4,4,0.00,259.83,0.00,SIN,443
168.138.165.174,4,4,0.00,285.05,0.00,SIN,443
168.138.22.243,4,4,0.00,314.17,0.00,MEL,443
64.110.104.30,4,4,0.00,393.10,0.00,KIX,443
140.245.45.233,4,4,0.00,436.87,0.00,SJC,443
138.2.64.229,4,4,0.00,513.81,0.00,EWR,443
138.2.108.213,4,4,0.00,572.22,0.00,IAD,443
141.147.174.243,4,3,0.25,742.67,0.00,NRT,443
