IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
18.138.252.84,4,4,0.00,123.15,0.00,SIN,443
13.250.64.83,4,4,0.00,127.47,0.00,SIN,443
54.254.247.156,4,4,0.00,128.22,0.00,SIN,443
54.254.39.187,4,4,0.00,130.14,0.00,SIN,443
13.250.70.157,4,4,0.00,134.87,0.00,SIN,443
46.137.229.208,4,4,0.00,138.08,0.00,SIN,443
13.250.17.35,4,4,0.00,140.96,0.00,SIN,443
3.0.50.69,4,4,0.00,150.31,0.00,SIN,443
13.212.207.124,4,3,0.25,264.51,0.00,SIN,443
18.139.30.198,4,4,0.00,268.01,0.00,SIN,443
18.140.28.73,4,3,0.25,404.47,0.00,SIN,443
122.248.238.214,4,4,0.00,458.28,0.00,SIN,443
