IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
38.244.62.34,4,4,0.00,221.68,0.00,LAX,443
38.244.50.212,4,4,0.00,233.13,0.00,LAX,443
38.244.63.56,4,4,0.00,239.81,0.00,SJC,443
38.244.10.130,4,4,0.00,239.94,0.00,LAX,443
38.244.25.17,4,4,0.00,243.10,0.00,LAX,443
38.244.60.109,4,4,0.00,244.45,0.00,LAX,443
38.244.12.48,4,4,0.00,247.44,0.00,LAX,443
38.244.60.85,4,4,0.00,251.25,0.00,LAX,443
38.244.13.20,4,4,0.00,257.45,0.00,LAX,443
38.244.24.45,4,4,0.00,257.57,0.00,LAX,443
38.244.7.69,4,4,0.00,259.28,0.00,LAX,443
38.244.34.62,4,4,0.00,259.47,0.00,LAX,443
38.244.42.155,4,4,0.00,266.56,0.00,LAX,443
38.244.25.136,4,4,0.00,267.85,0.00,LAX,443
38.244.17.33,4,4,0.00,269.36,0.00,PDX,443
38.244.1.179,4,4,0.00,271.56,0.00,LAX,443
38.244.31.9,4,4,0.00,279.40,0.00,LAX,443
38.244.42.161,4,4,0.00,291.26,0.00,LAX,443
38.244.4.190,4,4,0.00,293.12,0.00,SJC,443
38.244.22.170,4,4,0.00,294.04,0.00,LAX,443
38.244.34.228,4,4,0.00,300.58,0.00,LAX,443
38.244.137.183,4,4,0.00,304.99,0.00,ARN,443
38.244.136.91,4,4,0.00,306.08,0.00,ARN,443
38.244.25.175,4,4,0.00,308.10,0.00,LAX,443
38.244.139.64,4,4,0.00,316.83,0.00,ARN,443
38.244.190.206,4,4,0.00,324.30,0.00,FRA,443
38.244.38.219,4,4,0.00,328.24,0.00,LAX,443
38.244.190.40,4,4,0.00,328.75,0.00,FRA,443
38.244.190.235,4,4,0.00,332.21,0.00,FRA,443
38.244.45.74,4,4,0.00,344.58,0.00,LAX,443
38.244.139.13,4,4,0.00,363.29,0.00,HEL,443
38.244.154.149,4,4,0.00,391.83,0.00,TLL,443
38.244.155.218,4,4,0.00,410.07,0.00,TLL,443
38.244.142.207,4,4,0.00,441.37,0.00,AMS,443
38.244.225.102,4,4,0.00,455.91,0.00,EZE,443
38.244.206.218,4,4,0.00,456.32,0.00,AKX,443
38.244.2.14,4,4,0.00,513.60,0.00,SJC,443
38.244.216.215,4,4,0.00,576.92,0.00,TLL,443
