IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
45.77.11.68,4,4,0.00,184.63,0.00,NRT,443
45.77.134.188,4,4,0.00,188.65,0.00,NRT,443
45.76.100.75,4,4,0.00,190.00,0.00,NRT,443
45.77.24.82,4,4,0.00,191.26,0.00,NRT,443
45.77.130.24,4,4,0.00,202.33,0.00,NRT,443
45.77.180.114,4,4,0.00,203.05,0.00,NRT,443
202.182.97.156,4,4,0.00,205.22,0.00,NRT,443
202.182.109.185,4,4,0.00,206.56,0.00,NRT,443
107.191.53.84,4,4,0.00,207.11,0.00,NRT,443
45.32.64.116,4,4,0.00,211.53,0.00,LAX,443
149.248.32.207,4,4,0.00,211.98,0.00,SEA,443
43.224.33.216,4,4,0.00,213.27,0.00,NRT,443
45.63.56.229,4,4,0.00,218.64,0.00,LAX,443
202.182.114.28,4,4,0.00,218.66,0.00,NRT,443
45.32.64.108,4,4,0.00,220.17,0.00,LAX,443
202.182.108.93,4,4,0.00,220.35,0.00,NRT,443
149.248.19.75,4,4,0.00,221.15,0.00,LAX,443
144.202.122.49,4,4,0.00,221.58,0.00,LAX,443
45.77.35.52,4,4,0.00,227.86,0.00,SIN,443
45.63.62.4,4,4,0.00,228.60,0.00,LAX,443
144.202.126.90,4,4,0.00,229.30,0.00,LAX,443
149.248.7.25,4,4,0.00,229.71,0.00,LAX,443
45.77.68.148,4,4,0.00,229.79,0.00,LAX,443
144.202.121.68,4,4,0.00,231.12,0.00,LAX,443
45.63.53.156,4,4,0.00,233.53,0.00,LAX,443
45.32.64.247,4,4,0.00,240.80,0.00,LAX,443
139.180.193.51,4,4,0.00,243.09,0.00,NRT,443
108.61.183.45,4,4,0.00,246.17,0.00,NRT,443
45.77.71.48,4,4,0.00,247.16,0.00,LAX,443
45.77.127.64,4,4,0.00,248.95,0.00,LAX,443
45.32.82.20,4,4,0.00,249.88,0.00,LAX,443
66.42.108.104,4,4,0.00,254.67,0.00,LAX,443
45.77.129.201,4,4,0.00,274.77,0.00,NRT,443
45.32.100.162,4,4,0.00,275.87,0.00,SIN,443
139.180.220.7,4,4,0.00,276.81,0.00,SIN,443
149.28.79.109,4,4,0.00,280.07,0.00,LAX,443
149.248.16.218,4,4,0.00,294.26,0.00,LAX,443
149.248.16.157,4,4,0.00,296.70,0.00,LAX,443
139.180.194.242,4,4,0.00,298.12,0.00,NRT,443
45.32.35.100,4,4,0.00,300.07,0.00,NRT,443
45.77.127.229,4,4,0.00,302.11,0.00,SJC,443
45.76.208.253,4,4,0.00,303.09,0.00,NRT,443
199.247.18.248,4,4,0.00,304.34,0.00,FRA,443
45.76.207.88,4,4,0.00,307.45,0.00,NRT,443
104.238.161.103,4,4,0.00,308.43,0.00,NRT,443
192.248.183.18,4,4,0.00,309.09,0.00,FRA,443
199.247.18.134,4,4,0.00,314.95,0.00,FRA,443
95.179.154.40,4,4,0.00,320.35,0.00,AMS,443
45.32.28.109,4,4,0.00,320.96,0.00,NRT,443
45.76.76.222,4,4,0.00,329.88,0.00,LAX,443
108.61.164.231,4,4,0.00,330.29,0.00,AMS,443
64.176.34.173,4,4,0.00,333.74,0.00,KIX,443
149.28.71.115,4,4,0.00,336.64,0.00,LAX,443
45.32.248.168,4,4,0.00,341.79,0.00,NRT,443
107.191.53.148,4,4,0.00,348.69,0.00,NRT,443
66.42.110.153,4,4,0.00,349.29,0.00,LAX,443
64.176.41.21,4,4,0.00,352.53,0.00,KIX,443
66.42.110.97,4,4,0.00,354.22,0.00,LAX,443
45.32.87.15,4,4,0.00,361.55,0.00,LAX,443
70.34.214.205,4,4,0.00,363.56,0.00,ARN,443
45.63.49.182,4,4,0.00,364.83,0.00,LAX,443
45.32.80.244,4,4,0.00,366.29,0.00,LAX,443
149.248.36.183,4,4,0.00,366.65,0.00,SEA,443
45.76.74.16,4,4,0.00,366.98,0.00,LAX,443
70.34.216.147,4,4,0.00,367.81,0.00,ARN,443
149.248.21.168,4,4,0.00,371.26,0.00,LAX,443
45.76.64.73,4,4,0.00,401.43,0.00,LAX,443
45.32.56.242,4,4,0.00,401.91,0.00,NRT,443
149.28.89.69,4,4,0.00,427.68,0.00,LAX,443
95.179.183.77,4,4,0.00,438.61,0.00,AMS,443
139.180.159.58,4,4,0.00,449.94,0.00,SIN,443
45.76.216.46,4,4,0.00,481.03,0.00,NRT,443
45.77.54.222,4,4,0.00,510.86,0.00,FRA,443
45.63.49.61,4,4,0.00,532.01,0.00,LAX,443
45.76.79.201,4,4,0.00,573.24,0.00,LAX,443
141.164.37.50,4,4,0.00,587.99,0.00,ICN,443
70.34.210.197,4,4,0.00,638.37,0.00,ARN,443
45.76.216.24,4,4,0.00,728.85,0.00,NRT,443
45.32.80.214,4,4,0.00,761.86,0.00,LAX,443
45.63.56.34,4,4,0.00,802.30,0.00,LAX,443
45.32.73.12,4,4,0.00,837.57,0.00,LAX,443
